tok,weight
('military', 'diary'),-1.0
('Misanzai', 'Tumulus'),0.0
('partly', 'subsidized'),-2.0
('Sensaku', 'SHIGEYAMA'),2.0
('1815', ','),9.0
otsuzumi-kata,0.0
('4', 'September'),0.0
('old', 'character'),0.0
('of', 'these'),2.0
('Shino', 'school'),-2.0
('brand', 'of'),-1.0
('a', 'mission'),0.0
Tadaichi,0.0
('Shinjo', 'Futazuka-kofun'),-1.0
chicken,-9.0
('(', 'c.1398'),0.0
('placing', 'logs'),-1.0
('2006', '.'),0.0
('in', '1255'),2.0
('Yatai', 'in'),0.0
1306-,4.0
('Shin-Puh-Kan', 'is'),-1.0
Sawa,-3.0
('Imibashi', 'or'),-1.0
('from', 'New'),0.0
('Theater', 'is'),0.0
('was', 'central'),-2.0
('Jotenkaku', 'Museum'),0.0
('the', 'officials'),0.0
('head', 'temples'),-1.0
twelve-layered,-3.0
('Hirata', '('),-1.0
Indian,-8.0
('the', 'Doshisha'),0.0
('has', 'integrated'),0.0
('died', 'June'),2.0
('emperor', 'and'),1.0
Inspector,-1.0
('to', 'Nara'),1.0
('inferior', 'to'),-4.0
('Hyakki', 'Shui'),-7.0
('1580-July', '23'),2.0
826,2.0
('Izume', 'refers'),0.0
('Saburo', 'MAGOSHI'),0.0
well-equipped,-3.0
('pseudo', 'currency'),0.0
era,-26.0
('various', '5'),0.0
('by', 'Kuhyodo'),0.0
('performance', '('),-2.0
Ninken,3.0
administered,-5.0
apparition,-1.0
("'s", 'seal'),-1.0
('Soshimari', 'is'),0.0
('Uebito', 'was'),-1.0
('1537-', 'August'),2.0
('cycle', ')'),-12.0
('Kamakura-period', 'court'),1.0
('1150', ')'),2.0
('sense', 'refers'),-1.0
('thin', 'squares'),0.0
Kuyo,-3.0
('Yorikata', '('),1.0
('was', 'mandokoro'),1.0
('of', 'disturbances'),0.0
('or', 'Ninken'),-2.0
('Modern', 'Poems'),1.0
('vegetables', '('),-1.0
('as', 'Konoha-donburi'),0.0
('down', 'a'),-2.0
('temple', 'connected'),0.0
('called', 'busho'),1.0
2007,1.0
('the', 'gates'),-2.0
('as', 'Kukai'),5.0
Taiwan,-4.0
('Saga', 'Torokko'),-1.0
('&#91;', 'national'),1.0
('but', 'superior'),-2.0
Sedoka,3.0
('History', 'Book'),3.0
ekiba,0.0
('Tadayasu', 'NAKAYAMA'),0.0
回向,-2.0
('Imayo', 'Satsuma'),-1.0
('(', '944-July'),1.0
nokotsudo,0.0
('Nishikyogoku', 'Baseball'),0.0
('element', 'used'),-1.0
('(', 'questions'),0.0
('NIGITA', 'was'),1.0
("'", 'uprising'),-1.0
('direction', ')'),-2.0
Chokusenshu,1.0
('four', 'kinds'),0.0
('Nobutora', 'TAKEDA'),2.0
('JR', 'Freight'),0.0
('Kizakura', 'Kappa'),-1.0
tsuya,0.0
('1607', '.'),4.0
hit,-2.0
('(', 'nori'),-2.0
('ODA', 'in'),0.0
('class', 'Phaeophyceae'),0.0
('Tamenaka', '('),0.0
('Kendo', '('),0.0
fallen,0.0
feast,-5.0
Hanamachi,0.0
('acted', 'in'),2.0
('Japanese', 'leek'),-1.0
('acquired', 'not'),0.0
Hirobisashi,0.0
('Shitsuji', '"'),0.0
('capital', 'administrative'),0.0
('stone', 'tools'),-8.0
('Chizan', 'School'),-2.0
('sixth', 'daughter'),0.0
('Japanese', 'names'),0.0
('Azukaridokoro', '"'),-4.0
('Kaitenzushi', 'is'),0.0
('of', 'politics'),0.0
('clans', 'in'),-2.0
('then', ')'),-1.0
specific,-8.0
('of', 'seals'),-1.0
('Nyoin', 'indicates'),0.0
Shakunyo,2.0
('Goshin', 'Genmyo'),0.0
('1378', '–'),0.0
('rice', 'plants'),-1.0
('a', 'highly'),-1.0
('HIRASE', '('),0.0
walk,-1.0
('died', 'September'),-2.0
O-o-ha-ra,0.0
('expulse', 'other'),0.0
('asobi', 'or'),0.0
City,-508.0
('studio', 'owned'),0.0
('Etenraku', '"'),-1.0
('mathematics', ')'),2.0
Yadaijin,0.0
('stonemason', 'active'),0.0
('learning', 'of'),0.0
प,-1.0
regional,-17.0
allowed,2.0
('Kaburenjo', 'Theater'),-1.0
('across', 'water'),-1.0
('created', 'for'),4.0
('at', 'Miwa'),-1.0
('TOYOTOMI', 'returning'),0.0
('芦名', ')'),-2.0
('1884', ')'),2.0
("'", 'Shokusan-kogyo'),0.0
('hand', 'drum'),-1.0
Kagetomo,2.0
(',', '1171'),0.0
('run', 'farther'),0.0
('District', 'of'),1.0
(',', 'sojin'),2.0
Rito,-2.0
('supported', 'shogun'),-1.0
(',', '737'),1.0
('Nobuo', 'IMAI'),0.0
('one-yen', 'coin'),0.0
('a', 'driveway'),0.0
('Poetic', 'Memoirs'),1.0
('Sasaki-jinja', 'Shrine'),-2.0
Domain,141.0
('Nakatsu-han', '('),0.0
('wrapped', 'around'),0.0
('an', 'Igo'),3.0
('Saikasho', 'in'),-4.0
ended,-5.0
('educator', 'and'),1.0
Okage,-2.0
('Intangible', 'Folk'),-1.0
MATSUDAIRA,36.0
('and', 'Shoshi'),-2.0
('Doka', '('),4.0
('the', 'Oshinokoji'),0.0
('in', 'Tsuchiyama-cho'),-2.0
('evergreen', 'tree'),-1.0
1888,1.0
('who', 'held'),1.0
('Genji', 'and'),-2.0
uchigi,0.0
('Line', 'of'),-25.0
('Unmon', 'and'),0.0
Shinobigatana,-1.0
jito,-6.0
('seeds', 'of'),0.0
('Indian', 'stupa'),0.0
心,-1.0
('painter', 'living'),2.0
Sesshin,-1.0
('traditional', 'flower'),0.0
('literature', 'covers'),4.0
('and', 'religious'),0.0
('fuel', '.'),-1.0
('of', 'Kado'),0.0
Tesso,0.0
('in', 'orthographic'),1.0
('YAMASHIRO', 'no'),0.0
('1756', '-'),0.0
('sixty-sixth', 'Emperor'),1.0
('Northern', 'Wei'),3.0
('documents', 'such'),1.0
steed,0.0
('approved', 'by'),-2.0
('text', 'Jimmyocho'),-2.0
Shureishu,0.0
('(', 'Ancient'),-4.0
Shichijo-shinchi,-1.0
Folk,-1.0
('Chinju', 'gami'),0.0
joke,0.0
Kinmichi,0.0
(',', '1599'),1.0
('the', 'Shimabara'),1.0
('letter', 'sent'),0.0
deity-like,-1.0
Stadium,-2.0
('Rule', ')'),0.0
('structures', 'with'),-2.0
('the', 'short'),0.0
fireplace,-2.0
('which', 'two'),0.0
('Court', 'gave'),0.0
('by', 'visiting'),0.0
overlooking,0.0
('of', 'another'),0.0
enemy,-3.0
('1301', '.'),0.0
('workman', 'who'),0.0
('(', 'modern'),-2.0
('rice', 'bowl'),0.0
('The', 'Onin-ki'),1.0
('salary', '.'),0.0
('yedoensis', ')'),-1.0
Mitsutada,2.0
('they', 'developed'),-1.0
('Japanese', 'emperors'),2.0
('Orthodox', 'Church'),0.0
('gradually', 'grew'),0.0
('1793', ')'),0.0
('remains', 'from'),0.0
('appeals', 'and'),0.0
('specters', 'by'),-2.0
('later', 'of'),0.0
('Kunibiki', 'Shinwa'),2.0
('Shinanonomiya', ','),1.0
(',', 'below'),-1.0
('and', 'painted'),2.0
('perennial', 'as'),-1.0
(',', 'within'),0.0
('unknown-November', '6'),2.0
ruling,-27.0
('Kurama', 'Fire'),0.0
('Torataro', 'YOSHIMURA'),0.0
Kashiwamochi,0.0
Shugokushi,-1.0
('executed', 'katanagari'),-3.0
('KATO', ')'),0.0
('of', 'vegetables'),0.0
('rin', 'rin'),-1.0
('1495', '-'),2.0
('from', 'generation'),1.0
('overthrowing', 'their'),-1.0
('the', 'Shishin-den'),-3.0
extra,-7.0
('umbrella', 'changed'),0.0
('1500', 'varieties'),0.0
('from', 'Shimenawa'),-1.0
('those', 'introduced'),0.0
('(', 'Jokei'),0.0
Kantaro,3.0
('advanced', 'technologies'),0.0
Kobo,4.0
(',', '1019'),0.0
(',', '1894-February'),0.0
('(', '1381-June'),2.0
('kakekotoba', '('),0.0
1347,4.0
('Virtue', 'as'),0.0
('ramen', 'is'),0.0
('Musume', '('),1.0
('of', 'Hakusonko'),-1.0
taisha,-4.0
('Tottori', 'Station'),0.0
('Shandao', 'of'),0.0
temples,-51.0
Tsumikusa,0.0
('to', 'Hidetada'),1.0
('of', 'store'),0.0
('farmlands', 'such'),-2.0
('.', 'Nijo-zan'),0.0
('the', 'system'),-25.0
('by', 'Amaterasu'),-1.0
('235', '-'),1.0
operations,-1.0
Kairyo,-5.0
('Kugutsu', 'were'),-1.0
edict,-15.0
('mai', 'dance'),-2.0
('Senko', 'IKENOBO'),0.0
('Kyoto', 'Shiyakusho-mae'),0.0
('(', 'kanji'),-1.0
Myohodo,-1.0
('signs', 'correspond'),0.0
('te', '('),0.0
('Peninsula', 'around'),0.0
Kurisaki,0.0
Kanazukai,-1.0
('no', 'Yasuhide'),0.0
('Shigenaga', 'HIGASHIBOJO'),-1.0
No.65,0.0
('August', '26'),11.0
('"', 'Karukuchi'),0.0
('by', 'Sanuki'),3.0
('masses', 'which'),0.0
('shingo', '('),-1.0
('core', 'of'),-1.0
('conditions', 'in'),-2.0
marquis,0.0
1727,0.0
('–', 'February'),11.0
('Chiyoda', 'Ward'),-1.0
Meio,-1.0
influenced,-4.0
('codes', 'which'),0.0
('in', 'Bolognese'),-2.0
('background', 'of'),0.0
('sumi', '('),-1.0
('a', 'kajin'),6.0
('Nenbutsu', 'is'),0.0
('person', 'lived'),2.0
dissolve,-1.0
('capital', ','),2.0
Kutsu,-2.0
('crop', 'less'),0.0
('Japanese', 'whisky'),-1.0
('title', 'for'),5.0
('(', 'storehouses'),-2.0
('of', 'Kana'),0.0
brigades,-1.0
Fushimiban,0.0
('Kakejiku', 'is'),-1.0
('law', 'issued'),0.0
('vessels', 'that'),-1.0
('produced', 'the'),0.0
Imperial,276.0
('in', 'Engishiki'),0.0
(')', 'through'),-1.0
('sometimes', 'entitled'),4.0
("'", 'oshikome'),-1.0
('of', 'pantomime'),0.0
('died', 'December'),0.0
Chokusen,5.0
('political', 'power'),-3.0
('Shoryaku-ji', 'Temple'),1.0
('destroy', 'residences'),0.0
('document', 'for'),1.0
('country', 'rock'),-2.0
('the', 'Azuchi-Momoyama'),71.0
Issunboshi,-2.0
('Science', ','),0.0
('and', 'installed'),-1.0
('rink', 'in'),0.0
run-down,0.0
('the', 'Hachidaishu'),0.0
('became', 'daimyo'),7.0
('Seiemon', 'KANAMITSU'),0.0
('Shinsen', 'Shojiroku'),-2.0
('1423', 'to'),1.0
('lived', '.'),-7.0
('Shijo-dori', 'Street'),-1.0
('Takegaki', '('),-1.0
('having', 'venerable'),-1.0
('of', 'Emperor'),49.0
('Kayadani', 'is'),-1.0
('Kamioda', ','),-1.0
('the', 'Kawagoe'),0.0
('ancient', 'horoscopy'),-1.0
kyoshu,-1.0
('biwa', ','),-2.0
('no', 'Michinori'),0.0
('marine', 'product'),0.0
('wearers', 'put'),0.0
('Saitansai', '('),4.0
('Army', '('),2.0
('three', 'city'),0.0
('dangle', 'from'),-1.0
('with', 'breading'),0.0
(',', '1344'),0.0
('1642', ')'),2.0
Takatsuki,-2.0
('no', 'imouto'),1.0
passage,-2.0
('Divine', 'Words'),4.0
('harlots', 'and'),-1.0
('is', 'ice'),0.0
('and', 'lasted'),-14.0
('former', 'chairperson'),1.0
('Noritoki', 'YAMASHINA'),1.0
('events', 'held'),1.0
('"', 'Toshiyori'),5.0
('"', 'Kichizo'),5.0
('Kotari', ','),0.0
frivolous,3.0
('mythology', 'in'),-1.0
('bestiary', 'by'),-2.0
portraits,-2.0
Confusian,0.0
wakenomiko,0.0
('Hanazono', ','),-4.0
('indicate', 'its'),-2.0
Takiguchi,-6.0
('groups', 'of'),-10.0
('or', '物の哀れ'),0.0
protect,-4.0
('Takaoka', "'s"),1.0
('by', 'story'),-1.0
('thunderbolt', ')'),0.0
Currency,0.0
('Rabbit', ','),-1.0
('rituals', 'by'),-1.0
('after', 'they'),4.0
('KAMEI', '('),0.0
('University', 'Press'),0.0
('been', 'operated'),-1.0
hangan,0.0
('Western', 'Pacific'),-1.0
('and', 'serve'),0.0
('–', 'April'),5.0
('of', 'Takatoki'),0.0
archaic,0.0
('Yoshisuke', 'AYUKAWA'),0.0
('Imadegawa', '('),1.0
(',', '1593'),1.0
('Toyoakari', 'no'),-4.0
('Buyo', 'dance'),-1.0
('708', 'AD'),0.0
('the', 'life-story'),0.0
('(', 'such'),-6.0
Samuji,-1.0
('bugyo', 'was'),-8.0
('museum', 'in'),-1.0
('who', 'seems'),0.0
thought,3.0
('during', 'he'),1.0
('jo', ')'),-2.0
('occupations', ','),-1.0
('Kyoto', 'through'),0.0
('Yakata', 'means'),0.0
('present-day', 'Kyoko-ji'),0.0
('to', 'establish'),-6.0
('MIURA', 'was'),1.0
1410,5.0
('allowed', 'into'),2.0
('Hojoin', 'Temple'),0.0
Hyakushu,11.0
('1872', ','),0.0
うな重,-1.0
('a', 'temporarily'),-2.0
('Han', 'periods'),-1.0
('his', 'time'),0.0
('the', 'categories'),0.0
('battle', 'on'),-1.0
('Hatano', 'family'),-1.0
('Prince', 'Iyo'),0.0
roeki,-1.0
('sake-brewing', '.'),0.0
terminal,-2.0
Senkan,1.0
('1898-July', '19'),2.0
Kuta,0.0
(',', 'spirits'),-15.0
('Kechimyaku', 'Sojo'),-2.0
('original', 'lead'),1.0
('paintings', 'by'),-1.0
('lapis', 'lazuli'),-1.0
('and', 'contribution'),0.0
('to', 'provincial'),-2.0
('TANABE', 'no'),1.0
Yoshimune,2.0
naniwabushi,-1.0
('until', 'right'),-1.0
('of', 'Loyal'),-1.0
('Tango', '.'),2.0
('1719', 'to'),0.0
('Sukekage', 'KOBAYAKAWA'),0.0
('which', 'shared'),-1.0
('to', 'military'),-2.0
('of', 'Ankoku-ji'),0.0
('kendan', '('),0.0
('concept', 'of'),3.0
('actual', 'power'),-2.0
('and', 'June'),-2.0
('local', 'dish'),-7.0
('Osaka', 'Prefecture'),-13.0
('center', 'China'),0.0
('Uesugi-shi', 'or'),1.0
('Prefectures', 'in'),0.0
Descantons,2.0
equipment,-1.0
('1049-August', '5'),2.0
('Japanese', 'sentences'),4.0
komeya,0.0
季継,0.0
Susumu,0.0
Ako-jinja,0.0
('from', 'stone'),0.0
('2001', '.'),-1.0
('fried', 'food'),-2.0
('enjoy', 'having'),0.0
('historical', 'name'),0.0
('hometown', 'was'),1.0
Taiseki-ji,3.0
('1593', ')'),1.0
contents,1.0
Kozaki,0.0
Kioi-cho,-5.0
Kanimeikazuchi,2.0
('by', 'Hyobusho'),0.0
('Japanese', 'farm'),-1.0
('the', 'Honen-in'),0.0
('Fuso', 'Ryakki'),5.0
scriptures,-10.0
Ihai,0.0
('playwright', 'during'),0.0
('HOJO', ')'),0.0
('Basyaku', '"'),-4.0
('spots', 'like'),-1.0
('liquor', ')'),-4.0
('respective', 'fields'),-1.0
('literature', 'which'),-2.0
('producer', 'of'),-1.0
('present', ','),-3.0
(',', 'separate'),0.0
('for', 'foreign'),0.0
('live', 'and'),-1.0
('policeman', '.'),0.0
('of', 'deep-fried'),0.0
1930s,-3.0
(',', '812'),0.0
Sakhalin,-1.0
bus,-12.0
('transmuted', 'from'),-5.0
('city', 'plan'),0.0
('for', 'devices'),-1.0
('chuin', '('),-2.0
('Tasuku', '('),1.0
('(', '1062'),0.0
('masks', 'or'),-1.0
('cord', 'is'),-1.0
(')', 'appears'),1.0
('sect', 'founded'),-2.0
('or', 'Kanshu'),1.0
('flat', 'ovals'),0.0
('the', 'Kishu'),1.0
('of', 'craftspeople'),-2.0
('art', 'form'),0.0
('given', 'a'),1.0
('paper', 'currency'),0.0
('technique', 'that'),0.0
('ensemble', ')'),-1.0
('them', 'into'),0.0
gelatin,0.0
('of', 'something'),0.0
('Yoshino-onsen', 'Hot'),0.0
('Hoju-ji', 'kassen'),-7.0
('Mentsuyu', 'is'),0.0
('Miwako', ')'),1.0
('Himemiko', ')'),2.0
('of', 'displays'),0.0
consistently,0.0
('term', 'in'),-3.0
('Kannon', 'Bosatsu'),-4.0
('Dajo', 'Hoo'),1.0
('of', 'village'),-4.0
('a', 'small'),-7.0
('lees', ')'),-1.0
('Court', 'ranks'),-3.0
('TANAKA', 'and'),1.0
('Kan', 'in'),0.0
('shakkanho', '('),-1.0
("'s-April", '4'),2.0
('Masayoshi', 'INABA'),2.0
('on', 'doso'),0.0
('kyodai', '('),-2.0
('Kagai', ')'),0.0
('sermon', 'taught'),-2.0
KEIAN,0.0
('lighted', 'and'),-1.0
('which', 'illustrates'),0.0
('streams', 'of'),-1.0
('Imperial', 'palace'),-3.0
('Fudai', 'genin'),-1.0
('theater', 'and'),0.0
('hitashimono', ')'),-1.0
('eighth', '('),6.0
('(', '1926'),-2.0
('Otomaro', '('),1.0
('agriculture', '.'),0.0
('wet', 'nurse'),4.0
('is', 'fully'),0.0
('(', '1373-October'),0.0
('economy', 'that'),0.0
('discuss', 'the'),0.0
('24', 'top'),4.0
('fermentation', '('),-4.0
('名跡', ':'),0.0
("'s", 'Kamakura'),-2.0
('of', 'written'),-1.0
('(', 'yeast'),1.0
('Tonosho', 'Station'),-1.0
('integrated', 'into'),-1.0
('that', 'same'),0.0
('two', 'maternal'),0.0
share,0.0
('Demons', 'Past'),-5.0
('also', 'Prince'),-2.0
('Court', 'of'),-7.0
('soul', 'left'),-1.0
('which', 'gave'),0.0
('to', 'tombs'),-1.0
('descended', 'from'),-20.0
('dowagers', ','),0.0
('initial', 'letters'),0.0
('No.5', 'kofun'),0.0
('1825', '-'),0.0
Oyumi,4.0
('Gongyo', '('),-2.0
以久,0.0
('Suzaku', '.'),0.0
('and', 'swinging'),0.0
449,1.0
('root', ','),0.0
Maizuru-ben,0.0
('no', 'Tadafusa'),1.0
('1674', '-October'),2.0
('Yama-cho', ','),0.0
('iron', 'weight'),0.0
('1637', '-'),0.0
('TAMAKI', '('),1.0
('Kakukai', 'Enjo'),0.0
('northeastern', 'part'),-2.0
('pickle', 'and'),0.0
京都サンガF.C.,-1.0
('Sekishu-ryu', 'is'),-2.0
('in', 'Miyake-Cho'),-1.0
('or', 'bukeryo'),-2.0
