tok,count
"Jikkoku",1
"era",148
"Northern",286
"Sung",15
"Dynasti",67
"Fudoki",5
"titl",143
"yanushioshiotakeogokoro",1
"mikoto",37
"third",67
"fourth",54
"Mokubei",1
"AOKI",4
"1767-",1
"Juli",391
"2",127
"1833",12
"painter",98
"Kyo",24
"ware",8
"potter",4
"Gojo-ohashi",1
"Bridg",15
"bridg",12
"over",98
"Kamo-gawa",8
"River",55
"run",128
"through",190
"Muneyuki",2
"HAMURO",1
"1174",3
"1221",16
"Court",533
"Tenshu",1
"天守",1
"structur",17
"that",1086
"becam",44
"symbol",9
"castl",62
"after",133
"Sengoku",353
"war",196
"state",211
"MINAMOTO",184
"yoritsuna",3
"1025",5
"Februari",376
"17",160
"1097",4
"busho",417
"militari",684
"command",608
"tanka",13
"latter",88
"Soshu",2
"Hojutsu",2
"Chorenjo",1
"gunneri",7
"practic",85
"field",57
"seashor",2
"Fujisawa",1
"Chigasaki",1
"area",175
"now",23
"within",65
"boundari",11
"Kanagawa",4
"Tempura",1
"dish",68
"deep",7
"fri",10
"batter",2
"meat",30
"seafood",6
"veget",33
"sansai",1
"plant",22
"grow",2
"wild",5
"mountain",83
"Taho",1
"Nyorai",20
"Buddha",79
"Mani",4
"Treasur",8
"depict",13
"Lotus",17
"Sutra",44
"Tathagata",2
"object",32
"worship",52
"Morimun",2
"KOyANAGAWA",1
"In",48
"ancient",278
"Chokushimaki",1
"ranch",1
"develop",42
"emperor",162
"'s",495
"Chokushi",1
"use",445
"suppli",8
"hors",29
"for",892
"Meryo",1
"section",39
"take",30
"care",6
"imperi",148
"衛士",1
"eishi",1
"eji",1
"yoshino",31
"Gen",2
"special",87
"local",142
"administr",79
"divis",16
"organ",100
"establish",237
"eighth",36
"Shomen-dori",1
"Street",122
"street",112
"east-west",46
"Chiho",2
"aka",10
"Jibong",1
"Korean",46
";",213
"priest",385
"Shilla",1
"Sanyo",3
"RAI",3
"21",170
"1780",8
"1832",8
"historian",16
"compos",31
"poetri",68
"literari",21
"man",46
"Ichian",1
"yOKOHAMA",1
"1550",8
"Septemb",350
"5",147
"1596",8
"daimyo",202
"lord",392
"Azuchi-Momoyama",194
"Katamori",2
"MATSUDAIRA",47
"Daimyo",39
"9th",8
"last",100
"Chief",8
"Aizu",11
"Clan",21
"Mutsu",23
"Kanseirei",1
"Kansei",6
"calendar",89
"lunar-solar",2
"former",110
"Kuji",2
"kuninomiyatsuko",26
"also",480
"known",198
"Kujikokuzo",1
"rule",148
"north",22
"central",142
"part",197
"Hitachi",13
"Locat",45
"Kita-ku",5
"Kitaoji",2
"Bus",29
"Termin",2
"bus",29
"termin",6
"Sueb",1
"Suetsukurib",1
"group",154
"peopl",145
"were",337
"engag",20
"manufactur",18
"Sueki",3
"unglaz",4
"befor",61
"Taika",9
"yorinaga",3
"1120",2
"1156",18
"Eitoku",1
"KANO",15
"1543",8
"12",148
"1590",8
"Taibon",1
"Sankajo",2
"fundament",9
"author",48
"Shugo",25
"provinci",66
"constabl",10
"Muromachi",455
"bakufu",240
"head",389
"shogun",332
"Hikohitoo",1
"Oeo",1
"tumulus",75
"Futon",2
"short",19
"novel",17
"written",300
"Katai",1
"TAyAMA",1
"Kutsu-tsura",1
"liter",168
"shoe",2
"cheek",2
"yokai",55
"ghost",30
"spirit",84
"monster",27
"portray",13
"Sekien",32
"TORIyAMA",32
"collect",192
":",205
"Hyakki",34
"Tsurezur",23
"Bukuro",23
"Bag",12
"One",25
"Hundr",21
"Random",12
"Demon",21
"'",743
"hyakki",23
"pun",12
"usual",28
"replac",15
"charact",119
"demon",20
"鬼",11
"vessel",15
"器",11
"sure",12
"enough",11
"most",45
"shown",14
"this",68
"are",400
"tsukumogami",12
"type",138
"origin",125
"item",26
"artifact",13
"reach",19
"their",141
"100th",13
"birthday",15
"becom",37
"aliv",13
"Hebizuka-kofun",1
"Tumulus",47
"Uzumasa",9
"Ukyo",86
"Hodo-ji",1
"yuzu",13
"Nenbustu",1
"Ikoma",18
"Nikka-mon",1
"jikka",1
"mon",3
"Gate",9
"naikaku-mon",2
"gate",26
"compris",13
"dairi",10
"Palac",66
"east",23
"side",46
"south",26
"garden",42
"Shishinden",4
"Hall",33
"Throne",11
"Nenryo",4
"bekko",1
"zomotsu",1
"system",472
"where",110
"design",58
"amount",10
"Zomotsu",1
"such",174
"paper",31
"brush",7
"skin",5
"herbal",7
"direct",61
"tith",4
"Ritsuryo",148
"provinc",64
"HIKAMI",4
"Kawatsugu",2
"Mata-nozoki",1
"method",39
"enjoy",15
"look",12
"Amanohashid",6
"Kasamatsu",2
"Ama",6
"Hashid",2
"View",5
"Land",143
"Miyazu",43
"citi",76
"prefectur",42
"Kuniyoshi",3
"NOSE",3
"King",10
"Munmu",1
"681",4
"30th",3
"king",20
"kingdom",6
"Silla",4
"reign",123
"661",4
"whose",79
"name",515
"Kim",2
"given",76
"Beopmin",1
"Hayatoshi",1
"Hayato",3
"Office",18
"institut",55
"Emonfu",2
"Headquart",6
"Outer",3
"Guard",6
"later",84
"Hyobusho",3
"ministri",5
"base",178
"ritsuryo",147
"code",135
"Johen",1
"1166",5
"1224",4
"Isshikoshosoku",1
"sermon",3
"taught",10
"Honen",12
"Momijigari",1
"piec",49
"Shubun",2
"Autumn",6
"equinox",6
"24",148
"season",62
"solar",3
"Iemori",2
"yAMAZAKI",3
"1567",5
"19",118
"1614",8
"Jokan",1
"上官",1
"政官",1
"offic",152
"cleric",3
"work",78
"Daijokan",27
"Grand",45
"Council",29
"State",203
"under",254
"Code",26
"Keijun",1
"MIyABE",1
"1528",3
"?",200
"April",332
"20",168
"1599",10
"War",242
"Saigyo-zakura",1
"play",171
"Zeami",6
"Norimitsu",2
"yANAGIHARA",3
"Motomitsu",2
"14",140
"1746",7
"1800",9
"Shonii",6
"Senior",18
"Second",24
"Rank",52
"Gon",6
"Dainagon",9
"provision",5
"major",60
"counselor",3
"Amenomahitotsu",1
"Kami",14
"Shinto",315
"god",186
"iron",12
"blacksmith",2
"appear",152
"mytholog",74
"Form",1
"topographi",6
"coast",10
"Fukui",13
"Wakasa",14
"Bay",15
"creat",62
"ground",27
"subsid",3
"Sea",14
"Wani",2
"date",394
"legendari",18
"figur",38
"suppos",5
"came",36
"Kudara",7
"Paekch",3
"teach",33
"Confucian",45
"Kin",1
"Catti",1
"weight",27
"unit",41
"Asian",11
"measur",25
"Rakunan",4
"High",11
"School",93
"Junior",30
"privat",56
"junior",2
"senior",19
"high",119
"respect",22
"Minami-ku",2
"yobo-ji",1
"Honzan",8
"Nichiren",79
"Honshu",8
"Hokoji-cho",1
"Shintakakura",1
"Magobashi",1
"Street-agaru",1
"Sakyo",104
"Eishoin",1
"1578",9
"1642",6
"Ieyasu",12
"TOKUGAWA",55
"concubin",12
"Kojin-bashi",2
"Incident",47
"incid",67
"occur",94
"1953",7
"Univers",46
"student",12
"demonstr",1
"had",77
"march",3
"up",49
"large-scal",6
"meet",7
"Hirokoji",1
"campus",3
"Ritsumeikan",9
"collis",1
"polic",48
"Emperor",619
"Momozono",1
"1741",6
"31",105
"1762",4
"hundr",33
"sixteenth",5
"his",224
"9",147
"1747",8
"Mumon-ginsen",1
"coin",57
"oldest",15
"silver",25
"Takai",4
"979",2
"1044",1
"Kagero",2
"fifty-four",29
"chapter",51
"Tale",97
"Genji",129
"Shigeki",1
"NISHIMURA",3
"26",154
"1828",16
"18",143
"1902",16
"enlighten",13
"thinker",11
"yoshiharu",6
"ISSHIKI",10
"1466",3
"1484",4
"protector",3
"Giho",1
"reki",1
"lunisolar",4
"Chunfeng",1
"LI",1
"astronom",11
"Tang",40
"dynasti",32
"Kyoto-Gekijo",1
"theater",41
"Shimogyo",30
"Nobutan",2
"NAKANOMIKADO",2
"1442",3
"1525",4
"middl",303
"Seiki",2
"KURODA",10
"1866",14
"15",168
"1924",10
"Western-styl",8
"Kagoshima",8
"Katakiuchi",2
"out",61
"reveng",6
"law",90
"own",42
"hand",60
"against",49
"someon",6
"has",115
"kill",15
"ancestor",25
"aveng",1
"parti",34
"Meiji",364
"roku-nen",1
"Seihen",2
"Coup",6
"1873",19
"polit",74
"chang",25
"caus",16
"Seikanron",1
"debat",3
"subjug",2
"Korea",38
"Saga",31
"Goryu",1
"flower",46
"arrang",26
"founder",91
"Sotan",3
"gitsun",1
"fox",4
"stori",39
"pass",72
"down",67
"Shokoku-ji",8
"Kamigyo",41
"Goban-cho",1
"town",61
"situat",24
"Amida",12
"Amitabha",4
"religi",63
"belief",25
"Pure",130
"believ",54
"justif",1
"preach",5
"pray",18
"would",15
"lead",50
"you",2
"heaven",23
"Hokumen",1
"bushi",6
"serv",105
"retir",30
"stand",38
"gero",1
"servant",17
"palac",58
"guard",79
"accompani",24
"when",110
"he",79
"made",202
"trip",1
"outsid",33
"..",4
"Ako-jinja",1
"Shrine",206
"shrine",262
"Okuninushi",5
"call",246
"Izumo",10
"Shinwa",2
"Myth",3
"Follow",1
"Tokaido",14
"Shinkansen",2
"Nation",56
"JNR",1
"start",38
"oper",149
"1",169
"1964",5
"each",42
"compani",55
"high-spe",2
"indic",73
"train-car",1
"relat",59
"railway-bas",1
"transport",16
"whole",7
"Iesada",4
"thirteenth",7
"Seitaishogun",3
"chief",85
"expeditionari",3
"forc",78
"barbarian",67
"great",94
"unifi",6
"leader",28
"Bakufu",19
"O",8
"Tadatatsu",1
"10",145
"1865",17
"gagakuka",5
"musician",18
"old",134
"music",124
"Art",21
"Academi",12
"Shunkai",3
"Myoha",1
"SHUNOKU",1
"1311",4
"1388",5
"Zen",92
"Rinzai",112
"Kanokogi-no-sho",1
"/",145
"Kanakogi-no-sho",1
"shoen",47
"manor",59
"mediev",112
"Higo",4
"Muromachi-dori",1
"north-south",35
"San-saemon",1
"deceas",7
"father",15
"son",100
"yoshiyasu",4
"ICHIJO",33
"Takayoshi",9
"arrest",2
"attempt",9
"attack",19
"Michichika",1
"TSUCHIMIKADO",12
"Genkareki",1
"form",150
"China",109
"Futatsumei",1
"Norimun",4
"sword",55
"ICHIMONJI",1
"Bizen",6
"Mitsunaga",4
"WAKEBE",6
"1714",8
"1783",4
"6th",9
"Omizo",8
"Omi",66
"Shiki",14
"miko",22
"half",95
"seventh",54
"Asuka",207
"Shonai",2
"Rebellion",15
"Hyuga",6
"present-day",57
"Miyakonojo",1
"Miyazaki",6
"Shimazu",11
"Ijuin",1
"vassal",77
"Konbu-in",1
"Jodo",143
"nunneri",6
"Horen-cho",2
"Ujinaga",2
"SASSA",10
"Ujitsuna",4
"ABE",21
"yoshihira",2
"954",8
"1027",4
"Onmyoji",7
"Master",11
"yin",21
"yang",22
"Inyoka",10
"philosophi",21
"Shokusan-kogyo",2
"polici",36
"acceler",1
"modern",80
"nation",65
"encourag",11
"industri",16
"nurtur",2
"capit",52
"order",92
"compet",2
"Western",48
"countri",47
"Sanetada",1
"IMADEGAWA",18
"今出川",1
"実尹",1
"1316",5
"1342",5
"Kenmu",8
"Restor",22
"Hozukyo",3
"Gorg",3
"picturesqu",1
"scenic",4
"spot",6
"Oi-gawa",1
"Hozu-gawa",1
"Kameoka",33
"Togetsu-kyo",2
"Arashiyama",28
"Reigan",1
"1554",3
"1641",6
"Oni",10
"ho",14
"round-neck",3
"robe",13
"worn",32
"nobil",41
"sokutai",5
"tradit",288
"ceremoni",170
"dress",14
"costum",27
"crown",4
"princ",47
"ritual",46
"Keiji",3
"NISHITANI",1
"27",137
"1900",17
"1990",3
"research",21
"studi",83
"societi",17
"kannen",1
"age",48
"report",22
"Kokaku",3
"Tendai",113
"late",594
"Ichimi-togarashi",1
"cayenn",1
"pepper",10
"powder",17
"dri",33
"red",18
"Shiramine-jingu",1
"Kiri",2
"program",30
"theatric",14
"perform",210
"shite",21
"actor",257
"role",71
"ogr",7
"Tengu",3
"long-nos",1
"goblin",1
"Tenjin",3
"Raijin",2
"thunder",2
"Ryujin",1
"dragon",1
"etc",26
"Chiten",2
"Kimi",4
"word",55
"took",47
"control",68
"Mediev",17
"Fujii",2
"toshok",9
"hereditari",57
"lineag",44
"allow",32
"enter",22
"tenjonoma",5
"Urabe",6
"rice",192
"riot",7
"1918",16
"due",11
"sharp",3
"rise",6
"price",5
"prewar",4
"Kinkiyo",1
"TOKUDAIJI",22
"1312",2
"1360",3
"kugyo",56
"Southern",275
"Shigemochi",2
"MIKUMO",2
"1540",5
"1603",8
"Hyojoshu",1
"post",126
"Eichi",1
"SHIBUSAWA",1
"1840-Novemb",1
"1931",12
"Shogun",132
"near",21
"bureaucrat",37
"Ministri",52
"Financ",2
"entrepreneur",6
"Taisho",52
"Chiko",4
"circa",13
"709",3
"780",2
"Sanron",5
"Madhyamika",2
"found",66
"Nagarjuna",2
"brought",7
"625",2
"Ekwan",2
"headquart",14
"Horyu-ji",8
"Provision",6
"Mahayana",16
"Taneyasu",1
"TOGASHI",2
"1474",3
"1535",7
"16th",8
"Togashi",2
"number",14
"generat",46
"sinc",43
"Hanayacho-dori",1
"Daisaitogoma",1
"Goma",3
"Holi",2
"Fire",6
"Mass",1
"held",108
"Shoyoroku",1
"Shinsen",7
"offer",33
"household",18
"altar",17
"Sukenao",1
"INADOME",2
"1552",11
"1611",10
"expert",15
"Takaragaik",4
"ward",28
"stop",125
"Eizan",26
"Main",70
"Kurama",25
"Eizan-dentetsu",8
"Electric",67
"Jakugen",1
"1024",1
"mid-Heian",115
"yunoshin",1
"TAKAHASHI",7
"born",88
"1835",24
"soldier",26
"shinsengumi",3
"Izo",1
"OKADA",1
"1838",17
"Bakumatsu",3
"Shidai",1
"Hitokiri",1
"Four",11
"famous",22
"assassin",10
"join",4
"Tosa",29
"kinnoto",1
"loyalist",3
"cliqu",5
"hometown",3
"Jizo-bon",1
"festiv",88
"Jizo",3
"Bosatsu",31
"24th",2
"month",10
"three",86
"even",5
"calend",2
"Obon",2
"chosen",4
"Hirotsugu",2
"KAWAKATSU",1
"Sanetsun",3
"1045",4
"Jundaijin",1
"Naryu-misaki",1
"Cape",3
"face",22
"western",25
"KOSE",8
"Maro",7
"7",172
"717",3
"yosai",3
"KIKUCHI",9
"28",129
"1788",7
"1878",11
"Japanese-styl",23
"begin",107
"Hokoshu",1
"goverment",1
"posit",74
"Tato",2
"wealthi",8
"farmer",14
"class",48
"manag",39
"kokugaryo",2
"Kangakukigen",1
"histori",132
"classic",71
"Sueyasu",1
"IJICHI",3
"Satsuma",38
"Sarumaru",1
"Taifu",3
"Sarumarudayu",1
"not",87
"know",2
"thirty-six",7
"immort",2
"Sakan",1
"among",43
"four",37
"rank",212
"Shitokan",4
"legal",34
"Tozai",10
"Municip",36
"Subway",25
"connect",40
"Rokujizo",2
"Uji",47
"Uzumasa-tenjingawa",2
"Ikeda-machi",1
"yokangai",1
"Omihachiman",4
"Shiga",129
"Nanori",1
"Shimenawa-kiri",1
"Himatsuri",2
"seri",22
"annual",37
"event",60
"New",47
"Eve",6
"Day",17
"Daio-cho",1
"Shima",6
"Mie",12
"Jiyu",2
"Minken",2
"Undo",6
"Freedom",5
"popular",28
"right",29
"movement",31
"social",40
"place",153
"Meiji-period",1
"SUGAWARA",15
"Takasu",6
"972",6
"aristocrat",29
"zuryo",2
"governor",58
"Risai",1
"KOMAZAWA",1
"Senk",11
"Jisshoku",3
"Ten",11
"Craftsmen",4
"Sen",7
"Minonoshiri",1
"kunimiyatsuko",5
"Minonosihrinokokuzo",1
"Ie",6
"seido",6
"introduc",37
"Civil",7
"1898",16
"hereund",1
"small",41
"consist",54
"Sacchodo",1
"yuhan",2
"powerful",1
"mani",26
"patriot",9
"generic",38
"Royal",8
"Choshu",17
"Samurai",10
"these",14
"Obara-dera",1
"onc",34
"Obara",1
"Sakurai",22
"yoshizan",2
"NIJO",20
"1216",4
"1271",3
"Daigaku-besso",3
"affili",4
"Daigaku-ryo",11
"educ",66
"Mineko",1
"IWASAKI",1
"1949",4
"Gion",19
"Kobu",8
"geisha",25
"profession",57
"femal",66
"entertain",21
"drink",23
"Miushi",1
"635",1
"703",4
"histor",82
"yoshinobu",13
"TAKEDA",18
"Gosyodoki",1
"pattern",23
"cloth",65
"Nakagyo-ku",7
"Heiankyo",6
"Sosei-Kan",1
"museum",26
"occupi",18
"first",197
"floor",12
"Life-long",1
"Educat",29
"Center",6
"Asni",1
"Chanoyu",3
"Ichie",1
"Shu",12
"Collect",28
"Oneness",1
"tea",169
"Naosuk",3
"II",16
"Sokan",2
"Hikon",11
"Kiyohiko",1
"USHIHARA",2
"1897",10
"1985",4
"movi",30
"director",57
"Showa",52
"KO",9
"Moroyasu",2
"1351",9
"southern",31
"Hanzo",2
"HATTORI",4
"Matsudaira",2
"Tokugawa",144
"success",21
"Hattori",1
"assum",11
"Sokichi",1
"HASHIMOTO",10
"1763",6
"1836",14
"Ranpoi",6
"medicin",19
"languag",32
"Rangakusha",12
"scienc",24
"SOGA",21
"Iruka",3
"power",65
"yamato",94
"Miyako",8
"Fujikata",1
"HOSOKAWA",29
"1517",4
"Entsu",1
"1754",6
"1834",15
"Honji",1
"696",3
"Kagenori",2
"NIRE",1
"6",160
"1831-Novemb",1
"navi",6
"Motonaga",2
"藤原",2
"元命",1
"middle-rank",2
"Hakari-za",1
"za",4
"trade",32
"guild",6
"impos",18
"monopoli",2
"distribut",12
"test",3
"repair",11
"scale",5
"licens",8
"style",149
"built",58
"Densho",1
"esoterica",1
"傳書",1
"manuscript",11
"secret",9
"techniqu",47
"martial",36
"yukichika",1
"NENOI",1
"1184",23
"Shikik",1
"sub",2
"Umakai",3
"Udaijin",8
"Right",18
"Fuhito",9
"Norimochi",1
"IMAGAWA",10
"1570",10
"1608",11
"waka",120
"Joju",1
"SHUNAN",1
"1710",6
"1767",2
"baku",1
"calligraph",32
"Tenkoku",14
"artist",91
"carver",8
"carv",11
"Tensho",28
"Kanto",13
"moshitsugi",1
"Knato",1
"shisso",1
"togeth",27
"Rokuhara",9
"Tandai",7
"judici",9
"agenc",14
"do",12
"communic",4
"adjust",2
"cloister",13
"Tenjobito",1
"Uebito",1
"fifth",43
"abov",25
"pre-modern",5
"permit",3
"quarter",9
"i.e.",7
"resid",62
"Seiryoden",10
"Infobox",1
"Kokei",4
"HOAN",1
"1532",7
"1597",7
"tekkosen",1
"large-s",4
"Atake-bun",1
"naval",5
"warship",1
"Nobunaga",25
"ODA",58
"yoshitaka",14
"KUKI",11
"build",64
"fight",5
"Mori",8
"Murakami",10
"Hoori",2
"Mikoto",39
"Mitora",1
"Maiko",3
"makeov",1
"kind",203
"servic",60
"visitor",7
"especi",34
"satisfi",1
"desir",6
"those",51
"ador",2
"maiko",4
"girl",10
"transform",3
"them",48
"like",33
"geiko",1
"kimono",35
"wig",1
"kanzashi",1
"hair",7
"stick",13
"Mochikiyo",2
"KIRA",14
"Date",18
"Shichihonmatsu-dori",1
"south-north",4
"Kuro",3
"HOSHO",7
"stage",32
"headman",5
"shite-kata",53
"Hosho",9
"TAIRA",111
"Munemori",2
"warlord",36
"Nantan",19
"Tanba",58
"includ",87
"two",50
"Kyotanba-cho",3
"Funai-gun",6
"Kitakuwada-gun",4
"Minamikuwada-gun",1
"all",47
"Seiran",1
"OUCHI",16
"1845",20
"Studi",7
"Shichi-go-san",1
"growth",2
"children",18
"five",59
"seven",27
"Inyo",1
"pronounc",70
"Onmyo",2
"Gogyo",2
"Shiso",4
"yin-yang",4
"Wu-X",1
"Thought",2
"idea",11
"link",15
"principl",10
"negat",1
"light",16
"shade",2
"Five",15
"Element",2
"Theori",4
"Spring",19
"Nenbutsu",8
"pure",2
"land",111
"Jodo-kyo",3
"Junna-in",1
"Junna",5
"Rikyu",17
"villa",6
"Goin",1
"Shi",4
"jo",12
"Ni",1
"bo",2
"Heian-kyo",17
"Kanemon",3
"FUJIMA",3
"Fujima",3
"Kichinojo",3
"UMEWAKA",12
"Fifth",12
"Kanz",35
"Shoka",2
"subject",20
"ordinari",12
"higher",18
"elementari",10
"Motomasa",3
"KANZE",21
"1930-1990",1
"princip",27
"Tomoharu",2
"1548",8
"1604",8
"region",117
"Ooomi",1
"Kingdom",11
"Kamiyakuno",2
"1284-2",1
"Hirano",1
"Mutsu-machi",1
"yakuno-cho",2
"Fukuchiyama",50
"Sanin",21
"haneri",1
"detach",6
"neckpiec",1
"sew",4
"juban",1
"underwear",5
"wafuku",12
"spin",1
"Tamonin",3
"Nikki",10
"Diari",9
"tatchu",4
"sub-templ",22
"site",35
"Kofuku-ji",11
"kept",9
"140",1
"1478",2
"1618",7
"Eishun",1
"786",6
"842",4
"fifty-second",3
"809",6
"823",3
"Takarazuka",6
"Toho",3
"chain",5
"Theater",8
"Scala-za",1
"Rokkaku",8
"Kawaramachi",5
"Nakagyo",24
"Sadamoto",1
"NONOMIyA",1
"1669",9
"13",147
"Kosho",8
"busshi",11
"sculptor",24
"statu",35
"Remark",3
"Koshogumi",1
"page",3
"corp",14
"bankata",1
"charg",32
"affair",28
"Akebonotei",1
"Jiken",7
"wound",3
"commit",10
"suicid",10
"result",10
"mis-inform",1
"masterless",19
"Manen",1
"Oban",5
"gold",26
"issu",76
"intercalari",1
"1860",10
"Shin",13
"Funaokayama-jo",1
"Castl",63
"Onuma",1
"soro",1
"parad",6
"1581",6
"Fugen",2
"Enmei",1
"Sennyu-ji",6
"Sennyuji",1
"yamanouchi-cho",1
"Higashiyama",71
"Donkai",1
"1265",6
"1327",4
"Ji",9
"Kanei",4
"929",4
"990",2
"yukihiro",1
"UJIIE",1
"1546",7
"4",142
"1615",20
"Kengyo",8
"MATSUURA",3
"1823",5
"blind",7
"activ",96
"nineteenth",9
"jiuta",4
"shamisen",19
"so",59
"koto",15
"long",40
"zither",7
"thirteen",9
"string",18
"Michitada",1
"1251",6
"Powder",1
"green",33
"Waki",1
"Maitreya",3
"Bodhisattva",11
"mana",1
"semi-lotus",1
"Miroku",2
"import",37
"sixth",39
"still",4
"remain",29
"Shinko-in",1
"Chinzei",5
"42",2
"Iwakura",9
"Shimozaiji-cho",1
"Fusatak",1
"Fusamoto",1
"KOIDE",5
"1775",3
"1821",8
"Sonob",9
"Naotomo",2
"IWAKURA",17
"1737",5
"1799",12
"yase-Hieizanguchi",2
"FUTABATEI",2
"Shimei",2
"1864-",1
"1909",11
"novelist",14
"translat",17
"Bernard",1
"Thade",1
"Petitjean",1
"14,1829",1
"die",61
"1884",10
"Roman",4
"Cathol",3
"Franc",3
"Matsunoo-taisha",1
"Nishigyo",2
"Konpon",1
"Chudo",1
"largest",8
"hall",36
"Hieizan",5
"Enryaku-ji",6
"Nenokuni",1
"underworld",1
"myth",19
"Fu-Rin-Ka-Zan",2
"common",46
"phrase",4
"fast",2
"wind",11
"quiet",3
"forest",8
"dare",2
"fire",28
"immov",2
"hatasashi-mono",1
"battl",46
"flag",3
"Shingen",3
"territori",96
"Kai",8
"yamanashi",2
"Shoto",1
"tax",59
"levi",3
"paddi",3
"Takaaki",1
"1779",13
"heir",12
"Ayab",21
"Tango",85
"Shigetoshi",1
"IKEDA",9
"1586",10
"1631",5
"Shingu-han",1
"Harima",17
"Sankokyukei",1
"Qin",2
"Han",8
"Kotaishi",1
"Crown",18
"next",11
"throne",15
"yajiro",1
"SHINAGAWA",1
"1843",22
"statesman",68
"Karasuma-Imadegawa",1
"intersect",8
"neighbor",4
"Imadegawa-cho",1
"Sen-ryo-bako",1
"box",9
"exclus",7
"store",26
"larg",35
"koban",1
"oval",6
"Shinkei",2
"Sanjurokkaisen",1
"pictur",27
"ukiyo-",6
"yoshitoshi",4
"TSUKIOKA",2
"Kasa",3
"Tunnel",8
"tunnel",7
"Kita",52
"Kara",1
"monogatari",12
"adapt",2
"uta",4
"poem-tal",1
"Tango-Omiya",1
"Kuchiono",1
"Omiya-cho",4
"Kyotango",15
"Kitakinki",27
"Chokei",4
"1343",6
"1394",6
"1368",8
"1383",3
"ninety-eighth",1
"Suekuni",1
"c.1151-June",1
"1180",16
"Fujufus",4
"Not",6
"Receiv",3
"Give",3
"Komon",2
"Nichio",3
"Nichia",1
"1407",3
"Taiseki-ji",5
"Born",14
"892",2
"away",15
"970",3
"Arihira",1
"yuzo",3
"KAWASHIMA",2
"1918-June",1
"1963",4
"film",65
"Urakami",2
"yoban",1
"kuzur",1
"suppress",6
"campaign",5
"crypto-Christian",1
"crackdown",3
